Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Female,Loyal Customer,24,Business travel,Business,1290,2,1,1,1,2,2,2,2,3,3,3,2,3,2,2,0.0,neutral or dissatisfied
Male,Loyal Customer,35,Business travel,Business,2658,1,1,1,1,2,5,4,4,4,4,4,5,4,3,29,,satisfied
Male,disloyal Customer,34,Business travel,Business,304,1,0,0,1,2,0,2,2,5,5,4,5,4,2,74,77.0,neutral or dissatisfied
Male,Loyal Customer,18,Personal Travel,Eco,109,1,4,1,4,5,1,5,5,4,4,4,4,3,5,1,2.0,neutral or dissatisfied
Female,Loyal Customer,58,Business travel,Business,1620,1,3,3,3,3,3,2,1,1,1,1,3,1,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,3387,2,3,5,5,4,3,4,2,2,3,2,2,2,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,8,Personal Travel,Eco,325,2,1,2,3,4,2,4,4,3,5,3,4,4,4,7,0.0,neutral or dissatisfied
Female,Loyal Customer,31,Personal Travel,Eco,405,0,4,0,3,1,0,1,1,4,3,5,3,5,1,1,0.0,satisfied
Male,disloyal Customer,26,Business travel,Eco,1499,2,2,2,4,5,2,5,5,2,2,3,2,4,5,37,,neutral or dissatisfied
Male,Loyal Customer,65,Personal Travel,Business,399,3,4,3,5,4,2,4,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,29,Business travel,Eco Plus,937,2,2,2,3,3,2,3,3,3,2,4,1,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,7,Personal Travel,Eco,883,3,2,3,4,5,3,5,5,3,5,3,3,4,5,125,107.0,neutral or dissatisfied
Female,Loyal Customer,33,Business travel,Business,2367,3,3,3,3,3,2,2,3,3,3,3,4,3,3,0,15.0,neutral or dissatisfied
Male,Loyal Customer,55,Business travel,Business,2938,5,5,1,5,3,4,5,5,5,5,5,5,5,4,0,0.0,satisfied
Male,disloyal Customer,39,Business travel,Business,216,4,4,4,1,3,4,3,3,2,5,3,5,3,3,0,7.0,satisfied
Male,Loyal Customer,18,Business travel,Business,2120,3,5,5,5,3,3,3,3,3,5,3,3,4,3,19,12.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,550,4,4,4,4,5,4,4,4,4,4,4,1,4,3,5,12.0,neutral or dissatisfied
Female,Loyal Customer,58,Personal Travel,Eco,980,3,4,3,4,3,5,4,3,3,3,3,5,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,25,Business travel,Business,2323,3,5,5,5,3,3,3,3,2,1,3,4,3,3,1,34.0,neutral or dissatisfied
Male,Loyal Customer,39,Business travel,Business,3121,1,1,1,1,2,4,5,5,5,5,5,4,5,3,1,0.0,satisfied
Male,Loyal Customer,51,Business travel,Business,3848,1,2,2,2,1,2,2,3,3,3,1,1,3,4,0,26.0,neutral or dissatisfied
Female,Loyal Customer,23,Business travel,Business,507,3,4,3,4,3,3,3,3,2,5,3,4,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,32,Personal Travel,Eco,765,1,4,1,1,1,1,1,1,4,4,4,5,5,1,0,1.0,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Eco,238,3,4,3,1,2,3,2,2,5,2,3,5,2,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,52,Business travel,Business,377,5,5,5,5,5,2,2,3,3,3,3,3,3,2,0,0.0,satisfied
Male,Loyal Customer,18,Business travel,Business,2073,1,1,1,1,4,4,4,4,5,5,5,4,5,4,0,0.0,satisfied
Male,Loyal Customer,70,Personal Travel,Eco,649,2,3,2,3,3,2,3,3,1,5,4,2,4,3,0,11.0,neutral or dissatisfied
Female,Loyal Customer,32,Business travel,Business,363,3,3,3,3,2,2,2,2,5,2,4,3,5,2,0,0.0,satisfied
Male,Loyal Customer,7,Personal Travel,Eco,137,2,1,0,4,5,0,5,5,1,2,3,4,4,5,19,43.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,1514,3,3,3,3,5,5,5,4,4,4,4,4,4,5,1,0.0,satisfied
Female,disloyal Customer,26,Business travel,Eco,489,3,4,3,2,1,3,1,1,3,3,2,4,1,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Eco,991,4,4,4,3,3,4,3,3,3,2,3,1,4,3,0,6.0,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Eco,852,5,5,5,4,3,5,5,3,3,3,4,5,4,3,0,0.0,satisfied
Male,Loyal Customer,10,Personal Travel,Eco,137,2,4,2,3,3,2,3,3,4,2,4,2,3,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,27,Business travel,Eco,526,0,0,0,3,2,3,2,2,3,1,4,3,4,2,16,2.0,satisfied
Male,Loyal Customer,11,Personal Travel,Eco Plus,1315,3,5,3,3,1,3,1,1,3,4,3,5,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,60,Personal Travel,Eco,175,3,5,3,4,2,3,1,2,4,4,2,1,4,2,2,6.0,neutral or dissatisfied
Male,Loyal Customer,14,Business travel,Business,3207,3,3,3,3,5,5,5,5,5,5,5,4,4,5,0,1.0,satisfied
Female,Loyal Customer,46,Business travel,Business,1105,2,2,2,2,3,5,5,5,5,5,5,4,5,3,0,1.0,satisfied
Female,disloyal Customer,36,Business travel,Eco,537,3,2,3,3,3,3,3,3,2,2,4,3,3,3,29,18.0,neutral or dissatisfied
Female,Loyal Customer,35,Business travel,Business,1598,1,1,1,1,5,1,4,5,5,5,5,3,5,2,0,0.0,satisfied
Female,disloyal Customer,29,Business travel,Eco,762,2,2,2,1,1,2,1,1,5,1,4,1,5,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,39,Business travel,Business,3184,1,1,1,1,2,4,5,5,5,5,5,5,5,4,0,0.0,satisfied
Female,Loyal Customer,29,Business travel,Business,2146,5,5,3,5,4,4,4,4,1,2,5,2,3,4,13,11.0,satisfied
Male,Loyal Customer,25,Business travel,Business,3595,2,2,5,2,4,4,4,4,4,2,3,3,2,4,0,0.0,satisfied
Male,Loyal Customer,19,Personal Travel,Eco,2556,1,3,2,4,1,2,1,1,3,5,3,1,4,1,3,5.0,neutral or dissatisfied
Female,Loyal Customer,44,Business travel,Business,1712,5,5,5,5,1,3,1,5,5,5,5,5,5,5,17,4.0,satisfied
Female,disloyal Customer,35,Business travel,Business,964,4,4,4,5,1,4,1,1,4,3,4,3,5,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,47,Business travel,Business,2808,4,4,4,4,3,4,5,3,3,3,3,3,3,3,1,0.0,satisfied
Male,Loyal Customer,41,Business travel,Business,1426,4,4,4,4,3,5,5,5,5,4,5,3,5,3,3,0.0,satisfied
Male,Loyal Customer,42,Business travel,Business,2488,2,2,2,2,5,4,5,4,4,4,4,5,4,4,0,0.0,satisfied
Male,Loyal Customer,28,Business travel,Business,2378,4,4,4,4,5,5,5,5,2,5,5,4,3,5,0,0.0,satisfied
Female,Loyal Customer,36,Personal Travel,Eco,337,1,1,5,4,3,5,3,3,4,5,3,4,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,62,Personal Travel,Eco,2182,4,4,4,1,2,4,2,2,2,2,4,3,1,2,7,0.0,satisfied
Male,Loyal Customer,50,Business travel,Business,3823,1,1,3,1,2,5,5,5,5,5,5,4,5,5,0,0.0,satisfied
Male,Loyal Customer,12,Personal Travel,Eco,590,2,5,3,4,5,3,5,5,5,1,1,3,4,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,226,5,5,5,5,5,5,5,4,4,4,4,3,4,5,3,0.0,satisfied
Female,Loyal Customer,34,Business travel,Business,604,1,1,1,1,4,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
Female,Loyal Customer,35,Business travel,Business,764,2,2,4,4,4,4,4,2,2,2,2,1,2,3,33,52.0,neutral or dissatisfied
Female,Loyal Customer,25,Business travel,Business,581,2,5,5,5,2,2,2,2,4,5,3,4,3,2,74,87.0,neutral or dissatisfied
Female,Loyal Customer,42,Business travel,Business,828,5,5,5,5,3,4,4,4,4,4,4,4,4,3,0,15.0,satisfied
Female,Loyal Customer,36,Personal Travel,Business,169,2,5,2,3,3,4,5,4,4,2,4,4,4,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Business,3800,5,5,5,5,5,3,1,4,4,4,3,4,4,1,0,5.0,satisfied
Male,Loyal Customer,49,Business travel,Business,1818,4,4,4,4,2,5,5,4,4,4,4,5,4,4,0,0.0,satisfied
Female,disloyal Customer,72,Business travel,Business,393,3,3,3,4,4,3,4,4,3,3,5,4,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Eco,585,5,5,5,5,5,5,5,5,4,3,2,1,3,5,28,16.0,satisfied
Male,Loyal Customer,22,Personal Travel,Eco,1325,3,5,3,2,3,3,3,4,2,5,4,3,3,3,97,143.0,neutral or dissatisfied
Male,Loyal Customer,36,Personal Travel,Eco,1562,1,2,1,3,5,1,4,5,4,4,2,4,4,5,0,3.0,neutral or dissatisfied
Male,Loyal Customer,55,Business travel,Business,581,4,4,4,4,3,4,5,5,5,5,5,5,5,5,0,0.0,satisfied
Female,Loyal Customer,65,Business travel,Eco,125,2,1,1,1,1,3,3,2,2,2,2,4,2,4,16,6.0,neutral or dissatisfied
Male,disloyal Customer,27,Business travel,Business,680,4,4,4,3,4,4,4,4,4,5,4,4,5,4,2,7.0,satisfied
Male,Loyal Customer,60,Personal Travel,Eco,304,2,4,2,1,4,2,4,4,5,2,4,3,5,4,90,87.0,neutral or dissatisfied
Male,disloyal Customer,37,Business travel,Business,1162,2,2,2,3,4,2,3,4,4,5,5,2,1,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,37,Business travel,Eco,244,3,5,3,4,3,3,3,3,5,3,3,1,4,3,3,0.0,neutral or dissatisfied
Female,disloyal Customer,28,Business travel,Business,925,3,3,3,2,5,3,5,5,5,3,4,3,4,5,31,6.0,neutral or dissatisfied
Female,Loyal Customer,15,Personal Travel,Eco,1035,2,1,2,2,1,2,1,1,4,1,3,2,3,1,10,0.0,neutral or dissatisfied
Female,Loyal Customer,21,Personal Travel,Eco,509,3,5,3,1,2,3,2,2,5,3,5,4,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,21,Business travel,Eco Plus,101,2,4,2,4,2,2,3,2,2,5,3,4,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,46,Personal Travel,Eco,628,3,4,3,3,2,5,5,5,5,3,5,5,5,4,41,33.0,neutral or dissatisfied
Male,Loyal Customer,8,Business travel,Eco Plus,948,3,3,5,5,3,3,2,3,4,5,4,1,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,23,Business travel,Business,3529,5,5,5,5,4,4,4,4,3,3,4,4,5,4,50,53.0,satisfied
Male,disloyal Customer,23,Business travel,Business,404,4,0,4,2,1,4,1,1,4,4,5,4,5,1,0,2.0,satisfied
Male,Loyal Customer,61,Personal Travel,Eco,1288,1,5,2,3,1,2,1,1,5,4,3,3,4,1,18,20.0,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Business,1511,5,5,5,5,4,4,5,5,5,5,5,4,5,5,10,0.0,satisfied
Female,disloyal Customer,20,Business travel,Eco,346,1,3,2,1,4,2,4,4,1,2,5,2,5,4,1,0.0,neutral or dissatisfied
Male,Loyal Customer,77,Business travel,Eco Plus,802,2,2,2,2,3,2,3,3,3,2,2,1,2,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,587,5,5,5,5,3,5,5,2,2,2,2,4,2,3,8,4.0,satisfied
Female,disloyal Customer,52,Personal Travel,Eco,257,4,5,4,2,4,4,3,4,3,2,2,2,1,4,0,0.0,satisfied
Female,Loyal Customer,7,Personal Travel,Eco,130,2,5,2,1,1,2,3,1,3,3,5,3,3,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,56,Business travel,Eco,458,4,1,1,1,1,5,3,4,4,4,4,5,4,1,0,0.0,satisfied
Male,Loyal Customer,18,Personal Travel,Eco,986,3,4,3,2,3,3,3,3,4,4,5,4,5,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,41,Business travel,Business,2905,5,5,5,5,2,3,5,4,4,4,5,1,4,1,0,0.0,satisfied
Male,Loyal Customer,58,Personal Travel,Eco,1145,3,4,3,3,3,3,3,3,3,5,5,3,4,3,1,0.0,neutral or dissatisfied
Female,Loyal Customer,67,Personal Travel,Eco,157,1,2,1,4,3,4,4,4,4,1,4,4,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,48,Personal Travel,Eco,258,1,5,0,2,5,3,5,5,5,0,5,5,5,5,14,23.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Business,2814,2,2,2,2,4,5,4,4,4,4,4,4,4,3,0,0.0,satisfied
Female,Loyal Customer,28,Personal Travel,Eco,1121,4,1,4,3,2,4,2,2,2,2,3,4,4,2,84,98.0,satisfied
Male,Loyal Customer,69,Personal Travel,Eco,300,3,5,3,1,4,3,4,4,3,2,2,5,3,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,29,Business travel,Eco,200,4,5,4,2,1,4,1,1,3,1,5,4,5,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,45,Business travel,Business,1532,5,5,5,5,2,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
Female,Loyal Customer,40,Business travel,Business,3240,4,4,3,4,5,5,4,5,5,5,5,5,5,5,12,9.0,satisfied
Female,disloyal Customer,26,Business travel,Eco,547,4,4,4,2,3,4,3,3,3,3,1,1,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,42,Business travel,Business,1807,4,4,4,4,4,4,4,5,5,5,5,3,5,5,53,20.0,satisfied
Female,Loyal Customer,58,Personal Travel,Eco,950,3,0,3,4,3,5,5,5,5,3,5,4,5,3,2,0.0,neutral or dissatisfied
Male,Loyal Customer,60,Personal Travel,Eco,599,3,3,3,2,2,3,3,2,2,4,5,1,3,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,41,Business travel,Business,991,5,5,5,5,3,2,4,4,4,4,4,3,4,5,0,0.0,satisfied
Female,Loyal Customer,26,Personal Travel,Eco,1703,3,4,3,3,4,3,4,4,3,2,3,1,3,4,5,5.0,neutral or dissatisfied
Female,Loyal Customer,80,Business travel,Business,3826,4,3,3,3,2,4,4,4,4,4,4,3,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Business,277,3,3,3,3,2,3,2,5,5,5,5,3,5,2,108,107.0,satisfied
Male,Loyal Customer,45,Personal Travel,Eco,152,3,4,3,4,1,3,1,1,3,3,4,5,4,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,29,Business travel,Eco,551,2,1,2,3,1,2,1,1,2,2,3,2,3,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,733,5,5,5,5,5,5,5,4,4,4,4,3,4,5,21,9.0,satisfied
Female,Loyal Customer,32,Business travel,Business,480,1,1,1,1,5,5,5,5,5,4,4,3,5,5,3,2.0,satisfied
Male,disloyal Customer,37,Business travel,Business,543,3,3,3,1,4,3,4,4,5,5,4,5,5,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,46,Business travel,Eco,1235,3,3,3,4,3,3,3,3,3,2,4,3,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,3033,3,3,5,3,4,5,5,5,5,5,5,4,5,5,0,0.0,satisfied
Male,Loyal Customer,43,Business travel,Business,1130,2,2,2,2,4,5,5,2,2,2,2,3,2,4,0,0.0,satisfied
Female,Loyal Customer,50,Business travel,Business,3215,1,1,1,1,5,5,5,5,5,5,5,4,5,4,26,22.0,satisfied
Female,Loyal Customer,55,Personal Travel,Eco,484,1,4,1,1,5,5,5,2,2,1,2,5,2,3,1,44.0,neutral or dissatisfied
Female,Loyal Customer,77,Business travel,Eco,550,3,1,1,1,3,4,3,3,3,3,3,2,3,4,8,0.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Eco,517,4,2,2,2,4,4,4,4,1,3,4,1,3,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Business,3387,1,1,4,1,1,1,1,1,3,4,4,4,4,1,0,6.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,213,2,2,2,2,5,5,5,4,4,5,4,3,4,5,0,27.0,satisfied
Female,Loyal Customer,33,Business travel,Business,184,4,2,2,2,4,3,4,3,3,2,4,3,3,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,58,Business travel,Business,3950,4,4,3,4,3,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
Male,disloyal Customer,22,Business travel,Eco,101,1,0,1,2,3,1,2,3,1,2,4,5,5,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,26,Personal Travel,Eco,106,3,4,0,4,4,0,4,4,4,5,4,4,5,4,47,36.0,neutral or dissatisfied
Male,Loyal Customer,42,Business travel,Business,3272,2,2,2,2,5,5,5,2,2,2,2,3,2,3,104,97.0,satisfied
Female,Loyal Customer,38,Personal Travel,Eco,2239,4,4,4,4,5,4,5,5,5,5,5,3,5,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,35,Personal Travel,Eco,163,5,3,5,4,5,5,5,5,4,4,3,3,3,5,0,5.0,satisfied
Female,Loyal Customer,31,Personal Travel,Eco,1754,3,4,3,4,5,3,5,5,1,1,2,1,4,5,90,90.0,neutral or dissatisfied
Male,Loyal Customer,45,Business travel,Business,2811,4,2,4,4,3,4,5,4,4,4,4,3,4,4,1,0.0,satisfied
Female,disloyal Customer,25,Business travel,Eco,1235,3,3,3,3,4,3,3,4,3,3,3,1,4,4,10,13.0,neutral or dissatisfied
Male,Loyal Customer,60,Personal Travel,Eco,491,1,3,1,3,5,1,5,5,3,2,2,5,1,5,22,49.0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Eco,2475,4,4,4,2,3,4,3,3,5,2,4,1,1,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,14,Personal Travel,Eco,370,2,0,2,1,1,2,1,1,4,4,4,5,5,1,2,0.0,neutral or dissatisfied
Male,disloyal Customer,25,Business travel,Eco,645,3,0,3,5,3,3,3,3,4,2,4,5,3,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,44,Personal Travel,Eco,312,3,4,3,4,3,4,3,1,1,3,1,3,1,3,95,86.0,neutral or dissatisfied
Female,disloyal Customer,9,Business travel,Eco,584,4,4,4,3,5,4,5,5,2,3,5,3,1,5,0,0.0,satisfied
Female,disloyal Customer,26,Business travel,Business,862,3,2,2,2,3,2,3,3,3,2,5,4,5,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,41,Personal Travel,Eco,580,3,4,3,5,4,3,4,4,5,4,2,4,2,4,22,25.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Business,2815,3,3,3,3,2,4,4,4,4,5,4,4,4,5,0,0.0,satisfied
Female,Loyal Customer,68,Personal Travel,Eco,377,1,5,1,3,2,4,5,5,5,1,5,4,5,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,65,Business travel,Eco,569,1,5,5,5,2,3,4,2,2,1,2,3,2,4,40,37.0,neutral or dissatisfied
Male,Loyal Customer,29,Personal Travel,Business,323,3,3,3,2,1,3,1,1,4,1,4,5,2,1,0,6.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Business,3539,4,4,4,4,4,4,5,4,4,4,4,5,4,4,25,18.0,satisfied
Female,Loyal Customer,49,Personal Travel,Business,306,2,5,2,1,2,5,4,1,1,2,1,5,1,4,9,5.0,neutral or dissatisfied
Female,Loyal Customer,45,Personal Travel,Eco,2248,3,4,3,4,5,4,4,4,4,3,4,1,4,4,8,0.0,neutral or dissatisfied
Male,Loyal Customer,19,Personal Travel,Eco,1362,4,4,5,3,1,5,1,1,3,5,4,3,5,1,28,21.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,1749,2,2,2,2,5,5,5,5,5,5,5,5,5,4,0,4.0,satisfied
Male,Loyal Customer,32,Personal Travel,Eco,2586,3,2,3,3,3,3,3,1,3,4,4,3,3,3,7,6.0,neutral or dissatisfied
Male,disloyal Customer,25,Business travel,Business,484,2,0,3,4,1,3,1,1,3,5,5,5,5,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Business,265,0,0,0,5,2,5,4,5,5,1,1,5,5,3,0,0.0,satisfied
Female,Loyal Customer,33,Business travel,Eco,516,1,3,3,3,1,1,1,1,4,4,3,4,3,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,1597,5,5,5,5,4,4,5,4,4,4,4,5,4,5,40,21.0,satisfied
Male,disloyal Customer,46,Business travel,Eco,413,4,5,4,4,4,4,1,4,3,3,3,5,2,4,17,16.0,neutral or dissatisfied
Female,disloyal Customer,8,Business travel,Eco,1009,4,4,4,3,3,4,3,3,2,2,4,2,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,57,Business travel,Business,2178,4,4,4,4,2,5,5,4,4,4,4,4,4,5,2,0.0,satisfied
Male,Loyal Customer,30,Business travel,Business,1912,2,4,4,4,2,2,2,2,1,5,4,2,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,70,Personal Travel,Eco,282,2,3,2,3,2,2,2,2,3,2,4,1,3,2,45,100.0,neutral or dissatisfied
Male,Loyal Customer,41,Personal Travel,Eco Plus,594,3,1,3,2,2,3,2,2,4,2,2,4,2,2,0,0.0,neutral or dissatisfied
Male,disloyal Customer,36,Business travel,Eco,738,2,2,2,3,1,2,1,1,1,1,4,4,3,1,21,10.0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Eco,965,1,0,0,2,2,0,2,2,4,4,5,5,4,2,35,34.0,neutral or dissatisfied
Female,Loyal Customer,39,Personal Travel,Eco Plus,872,4,3,4,3,2,4,2,2,2,2,2,2,3,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,28,Personal Travel,Eco,1514,1,4,1,2,1,1,1,1,4,2,5,3,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,53,Business travel,Business,1939,5,5,5,5,2,4,5,5,5,5,5,4,5,3,11,32.0,satisfied
Female,disloyal Customer,36,Business travel,Eco,1038,2,2,2,3,5,2,2,5,1,2,4,3,4,5,3,12.0,neutral or dissatisfied
Male,Loyal Customer,59,Personal Travel,Eco Plus,999,3,4,3,3,4,3,4,4,3,2,5,3,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,44,Personal Travel,Eco Plus,612,1,4,1,3,2,2,4,1,1,1,2,3,1,1,17,0.0,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Business,3724,2,5,5,5,1,4,4,2,2,2,2,1,2,2,69,76.0,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Eco,862,4,4,4,4,5,4,5,5,5,3,4,2,1,5,0,3.0,satisfied
Female,Loyal Customer,15,Business travel,Business,483,1,1,1,1,1,1,1,1,1,5,4,2,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,44,Business travel,Business,986,1,1,5,1,3,5,4,3,3,4,3,5,3,3,35,68.0,satisfied
Female,Loyal Customer,19,Personal Travel,Eco,1107,3,3,3,4,4,3,4,4,4,4,2,5,3,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,12,Business travel,Eco,815,2,2,2,3,1,2,1,1,1,5,3,2,4,1,0,14.0,neutral or dissatisfied
Female,Loyal Customer,35,Personal Travel,Eco,950,3,0,3,4,1,3,4,1,5,5,4,5,4,1,21,25.0,neutral or dissatisfied
Male,Loyal Customer,55,Business travel,Business,2607,5,5,5,5,4,4,4,1,5,3,1,4,3,4,0,0.0,satisfied
Male,Loyal Customer,56,Business travel,Business,1634,3,3,1,3,4,2,1,4,4,4,4,5,4,5,0,0.0,satisfied
Female,disloyal Customer,19,Business travel,Eco,1009,2,1,1,3,3,1,3,3,2,1,4,3,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,55,Business travel,Business,228,4,4,4,4,4,5,5,5,5,5,5,4,5,3,0,0.0,satisfied
Male,Loyal Customer,68,Personal Travel,Eco,1476,3,5,3,5,5,3,5,5,4,2,4,4,5,5,13,13.0,neutral or dissatisfied
Female,Loyal Customer,23,Personal Travel,Eco,2253,3,4,3,1,3,1,2,4,3,4,5,2,4,2,0,22.0,neutral or dissatisfied
Female,Loyal Customer,56,Personal Travel,Eco,1050,1,5,1,1,5,1,1,1,1,1,1,5,1,2,0,3.0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Eco,545,1,5,5,5,2,4,4,1,1,1,1,3,1,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,41,Personal Travel,Eco,174,3,3,3,4,5,3,5,5,4,2,3,2,3,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Eco Plus,725,5,4,4,4,5,5,5,5,1,2,1,4,5,5,33,32.0,satisfied
Female,Loyal Customer,80,Business travel,Business,633,5,1,3,1,5,3,3,5,5,4,5,3,5,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,28,Business travel,Business,2174,2,1,2,2,5,5,5,5,5,4,5,3,5,5,0,0.0,satisfied
Male,disloyal Customer,71,Business travel,Business,2330,4,4,4,2,5,4,1,5,4,2,5,5,5,5,4,5.0,satisfied
Female,Loyal Customer,39,Business travel,Business,2475,4,4,4,4,4,3,4,4,4,4,4,2,4,2,17,0.0,satisfied
Female,disloyal Customer,22,Business travel,Business,1015,5,3,5,3,3,5,3,3,1,3,5,4,4,3,0,0.0,satisfied
Female,Loyal Customer,50,Business travel,Business,1507,4,4,4,4,2,4,4,4,4,5,4,5,4,3,0,0.0,satisfied
Female,Loyal Customer,22,Personal Travel,Eco,925,4,5,4,3,2,4,3,2,5,4,5,3,5,2,0,0.0,neutral or dissatisfied
Female,disloyal Customer,24,Business travel,Eco,200,2,3,2,4,4,2,4,4,4,2,4,3,4,4,57,57.0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Business,1741,3,3,4,3,4,4,4,4,5,4,5,5,5,4,0,0.0,satisfied
Female,Loyal Customer,39,Personal Travel,Eco,479,1,5,1,3,2,1,1,2,3,4,2,5,5,2,20,24.0,neutral or dissatisfied
Male,Loyal Customer,16,Personal Travel,Eco,266,1,4,1,2,2,1,2,2,4,3,5,4,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,30,Business travel,Business,329,2,1,1,1,2,2,2,2,2,1,4,4,3,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,23,Business travel,Business,359,2,2,2,2,5,5,5,5,3,2,1,5,5,5,0,0.0,satisfied
Female,disloyal Customer,22,Business travel,Eco,819,4,5,5,1,4,5,4,4,2,4,3,1,1,4,0,10.0,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Eco,206,3,1,1,1,3,3,3,2,3,4,4,3,4,3,57,138.0,neutral or dissatisfied
Female,disloyal Customer,37,Business travel,Business,491,4,4,4,2,2,4,2,2,4,4,4,3,5,2,1,13.0,satisfied
Female,Loyal Customer,53,Business travel,Business,3226,4,4,4,4,3,1,4,5,5,5,5,3,5,1,0,0.0,satisfied
Female,Loyal Customer,43,Business travel,Eco,422,4,1,1,1,2,4,1,4,4,4,4,2,4,5,0,0.0,satisfied
Female,disloyal Customer,36,Business travel,Business,950,2,2,2,3,4,2,2,4,3,4,5,5,5,4,7,4.0,neutral or dissatisfied
